Name, Category Type, Category Subtype, Phone, Website, Email, Geographic Location
Van Leeuwen Artisan Ice Cream,amenity,ice_cream,,,,--Spring Street
Gelso & Grand,amenity,restaurant,,,,--
Bareburger,amenity,restaurant,+1-212-477-8125,https://bareburger.com/location/535-laguardia-pl/,,--La Guardia Place
Capital One,amenity,bank,+1-212-353-3050,https://locations.capitalone.com/?id=81696&address&city&state&zip=10012&searchType=branchSearch&useRadius=-1,,New York-10012-Bleecker Street
GMT Tavern,amenity,restaurant,+1-646-863-3776,http://gmtnyc.com/,info@gmtnyc.com,New York-10012-Bleecker Street
The Renee and Chaim Gross Foundation,tourism,museum,+1-212-529-4906,http://www.rcgrossfoundation.org/,,New York-10012-Laguardia Place
Peculier Pub,amenity,pub,+1-212-353-1327,http://www.peculierpub.com/,,New York-10012-Bleecker Street
The Underdog,amenity,restaurant,+1-212-253-8300,,,--Bleecker Street
The Malt House,amenity,pub,+1-212-228-7713,https://www.themalthousevillage.com/,hello@themalthousenyc.com,--Thompson Street
Bosie,amenity,restaurant,+1-212-352-9900,https://www.bosienyc.com/,info@bosienyc.com,--Laguardia Place
Mocha Burger,amenity,restaurant,+1-212-982-3800,http://www.mochaburger.com/,mochaburgernyc@gmail.com,--LaGuardia Place
Molcajete Taqueria,amenity,restaurant,+1-212-777-8226,,,--LaGuardia Place
Surya,amenity,restaurant,+1-212-875-1405,https://www.suryanyc.com/,,New York-10012-Bleecker Street
Skirball Center for the Performing Arts,amenity,theatre,+1-212-992-8484,https://nyuskirball.org/,skirball.center.info@nyu.edu,--LaGuardia Place
The Market Place at Kimmel,amenity,fast_food,+1-212-998-4573,https://nyu.campusdish.com/Locations/MarketPlaceatKimmel.aspx,,--Washington Square South
Karakatta,amenity,restaurant,+1-917-261-6297,,,--Thompson Streer
Chipotle,amenity,fast_food,,,,New York-10012-Spring Street
Areppas,amenity,restaurant,,,,New York-10012-Cleveland Place
Tyka Pharmacy,amenity,pharmacy,,,,--
Bowery Meat Company,amenity,restaurant,,,,-10003-East 1st Street
Breakroom,amenity,fast_food,+1 212 227 2802,,,-10013-Baxter Street
Lalito,amenity,restaurant,+1-646-998-3408,https://lalitonyc.com,,--
Debutea,amenity,restaurant,,,,New York-10012-Thompson Street
wonton garden,amenity,restaurant,,,,--Mott street
Birch Coffee,amenity,cafe,+1 212-686-1444,http://birchcoffee.com/locations/soho/,soho@birchcoffee.com,New York-10012-West Houston Street
Rosie's,amenity,restaurant,,,,--
Mee Cafe,amenity,cafe,,,,--Rutgers Street
Blink,amenity,charging_station,,http://beamcharging.com/beam-locations.html#37,,New York--Allen Street
Roof Top at Public,amenity,bar,,,,--
Georgetown Cupcakes,amenity,cafe,,,,--
Café Grumpy,amenity,cafe,+1 212-226-6810,https://cafegrumpy.com/locations/nolita/,,New York City-10012-Mott Street
Hwa Yuan,amenity,restaurant,,,,--
Dumplings & Noodles,amenity,restaurant,,,,--
Penguin Ice Cream,amenity,ice_cream,,http://www.penguinicecreamusa.com,,New York-10002-Hester Street
Xe Lua,amenity,restaurant,+12125778887,http://xeluanewyork.com,,-10013-
Sorbillo,amenity,restaurant,,,,--
Center for Architecture,tourism,museum,,https://www.centerforarchitecture.org/,,--LaGuardia Place
Mercer Hotel,tourism,hotel,+1-212-966-6060,https://www.mercerhotel.com/,,New York City-10012-Mercer Street
Broken coconut,amenity,restaurant,,,,--
BoCaphe,amenity,cafe,+1 646 882 1939,http://bocaphe.com,,-10012-
Coco & Cru,amenity,restaurant,+1-212-614-3170,https://www.cocoandcru.com/,info@everyday-hospitality.com,--Broadway
Sweetwater Social,amenity,bar,+1-212-253-0477,https://www.drinksweetwater.com/,events@drinksweetwater.com,--Broadway
Gregory's Coffee,amenity,cafe,+1-646-478-7258,http://gregoryscoffee.com/,,--Broadway
The Press Shop,amenity,fast_food,+1-646-707-0264,https://thepressshopnyc.com/,catering@thepressshopnyc.com,--Bleecker Street
Cafe Angelique,amenity,cafe,+1-212-475-3500,http://cafeangeliquenyc.com/,info@cafeangeliquenyc.com,--Bleecker Street
Lafayette,amenity,restaurant,+1-212-533-3000,http://lafayetteny.com/,info@lafayetteny.com,--Lafayette
Ten Ren,amenity,cafe,,http://tenrenusa.com,,--
Pizzeria Margherita,amenity,restaurant,,,,--
Ed's Lobster Bar,amenity,restaurant,,,,--
Maman,amenity,cafe,,,,--
Academy of Literary Circles,amenity,language_school,+1-917-450-3211,http://www.grammartutors.com,,New York-10002-Grand Street 3F
Soho Astrology,amenity,fortune_teller,+1-929-434-2454,,,-10012-Cleveland Place
Balzem,amenity,bar,,,,--Mott Street
Irving Farm Coffee Roasters,amenity,cafe,+1-646-398-7146,https://irvingfarm.com/,holler@irvingfarm.com,--West 3rd Street
Shinka ramen & sake bar,amenity,restaurant,,,,--Bowery
Chase,amenity,bank,,,,--Chatham Square
Kiki's,amenity,restaurant,+1-646-882-7052,https://www.facebook.com/pages/Kikis/739458446170956,,--Division Street
Clandestino,amenity,bar,+1-212-475-5505,https://clandestinonyc.com/,info@clandestinonyc.com,--Canal Street
Happy Express Cafe. Inc.,amenity,cafe,+1-212-965-9898,,,--Allen Street
Allen Street Pharmacy,amenity,pharmacy,+1-212-966-8287,,,--Allen Street
Asian Americans For Equality,amenity,social_facility,+1-212-979-8988,askaafe@aafe.org,,--Division Street
West New Malaysia Restaurant,amenity,restaurant,,,,-10013-Bowery
Bloody Angle,tourism,attraction,,,,--
Eastbank,amenity,bank,,,,-10013-Centre Street
Hampton Chutney Co.,amenity,restaurant,+1-212-226-9996,https://hamptonchutney.com,,--
Soho Thai,amenity,restaurant,+1-212-966-8916,,,--
Five Points Academy,amenity,dojo,,https://www.academyfivepoints.com/,,--
Shanghai Asian Cruisine,amenity,restaurant,,,,--
The Bowery Beer Garden,amenity,bar,,,,--
Chase,amenity,bank,,,,--East 1st Street
Casa Mezcal,amenity,restaurant,,,,--
Round K,amenity,cafe,,,,--
Sun Hing Lung Co,amenity,fast_food,,,,--
Canal Loft Hostel & Hotel,tourism,hostel,,,,New York-10002-Canal Street
Maman,amenity,cafe,,,,--
joe’s pub,amenity,pub,,,,--
Chase,amenity,bank,,,,--
Top Thai Greenwich,amenity,restaurant,,https://www.topthainyc.com/,,-10012-
Oddfellows Ice Cream,amenity,ice_cream,9174751812,https://www.oddfellowsnyc.com/,,--
Congee Village,amenity,restaurant,2129411818,http://congeevillagenyc.com,,-10002-Allen Street
Royal Seafood Restaurant,amenity,restaurant,2122192338,http://royal-seafood.com,,--Mott Street
Explore Chinatown Information Kiosk,tourism,attraction,,,,--
XO Kitchen,amenity,restaurant,2129658645,http://xokitchen.com,,--
Mango Mango,amenity,ice_cream,6469827421,https://www.mangomangodessert.com/,,--
Yaya Tea Garden,amenity,cafe,2122268803,http://www.yayatea.com,,--Chrystie Street
Yaya Tea Garden,amenity,cafe,2129292832,http://yayatea.com,,--Grand Street
Vanity Projects,amenity,nail salon,,,,New York--Chrystie Street
Mulberry Pharmacy,amenity,pharmacy,+1-212-693-6688,,,--
Pho Thanh Hoai,amenity,restaurant,+1-212-233-8988,,,--
Citibank,amenity,bank,,,,New York-10012-Laguardia Place
Indochine,amenity,restaurant,+12125055111,https://www.indochinenyc.com/,,-10003-
The Wren,amenity,restaurant,,,,--
Taiyaki NYC,amenity,ice_cream,,,,--Baxter Street
Taiyaki NYC,amenity,ice_cream,,https://taiyakinyc.com/,,--
IL Cortile,amenity,restaurant,2122266060,,,--Mulberry Street
La Nonna,amenity,restaurant,,,,--Mulberry Street
Da Nico,amenity,restaurant,,,,--
Luna Ristorante,amenity,restaurant,,,,--
Casa Bella,amenity,restaurant,,,,--
Matchabar,amenity,cafe,,https://matchabar.co/pages/locate#soho,,-10012-Prince Street
Wendy's,amenity,fast_food,+1 212-674-5404,https://locations.wendys.com/united-states/ny/new-york/650-broadway,,-10012-Broadway
Jaya,amenity,restaurant,+1-212-219-3338,,,-10013-Baxter Street
Sweets Bakery,amenity,cafe,,,,-10013-Walker Street
Thai Son,amenity,restaurant,+1-212-732-2822,,,--
Thai Jasmine Restaurant,amenity,restaurant,+1-212-349-3132,,,-10013-Bayard Street
Bayard Sushi,amenity,restaurant,+1-646-922-7808,http://www.bayardsushi.com,,-10013-Bayard Street
Thailicious,amenity,restaurant,+1-917-261-2733,,,-10013-Baxter Street
Forlini's,amenity,restaurant,+1-212-349-6779,http://forlinisnyc.com,,--
Von,amenity,bar,+1-212-473-3039,https://vonbar.com,,-10012-Bleecker Street
Bessou,amenity,restaurant,(212) 228-8502,https://bessou.nyc,,--Bleecker Street
Quartino Bottega Organica,amenity,restaurant,(212) 529-5133,https://quartino.com,,--Bleecker Street
Zürcher Studio,tourism,gallery,(212) 777-0790,https://galeriezurcher.com,,--Bleecker Street
SubCulture,amenity,theatre,+1-212-533-5470,https://subculturenewyork.com,,--Bleecker Street
Dixon Place,amenity,theatre,212 219-0736,https://dixonplace.org,,--Chrystie Street
St. Joseph School,amenity,school,(212) 233-5152,,,New York-10002-Monroe Street
Monroe Market,amenity,marketplace,(212) 285-2182,,,New York-10002-Monroe Street
SLEEPCENTER,tourism,gallery,,https://sleepcenterny.org,,New York-10002-Monroe Street
Essex Flowers Gallery,tourism,gallery,,https://essexflowers.us,,New York-10002-Monroe Street
Kings' Church,amenity,place_of_worship,,https://kcnyc.org,,New York-10002-Monroe Street
Yi Zhang Fishball & Snack Restaurant,amenity,restaurant,,,,New York-10002-Market Street
Food King,amenity,restaurant,(212) 233-2433,,,New York-10002-Market Street
49 Monroe,amenity,restaurant,,,,New York-10002-Monroe Street
LianJiangDongDai INC,amenity,restaurant,(347) 703-5202,,,New York-10002-Catherine Street
Shun Wei,amenity,restaurant,(212) 964-7590,https://shunweitogo.com,,New York-10002-Catherine Street
Jes Coffee,amenity,cafe,(646) 462-3398,,,New York-10002-Market Street
Bamboo,amenity,restaurant,(212) 233-0383,https://bamboorestaurantnewyork.com,,New York-10002-Market Street
Golden Diner,amenity,restaurant,,https://goldendinerny.com,,New York-10002-Madison Street
Mr. Fong's,amenity,bar,(646) 964-4540,https://mrfongs.com,,New York-10002-Market Street
FIERMAN,tourism,gallery,,https://fierman.nyc,,New York-10002-Henry Street
12 Corners,amenity,cafe,(212) 625-8888,https://12cornerscoffee.com,,New York-10002-East Broadway
Talent Prep,amenity,school,(917) 636-8113,https://talentprep.org,,New York-10002-East Broadway
Ming's Cafe,amenity,restaurant,(212) 978-1888,,,New York-10002-Canal Street
Jajaja Plantas Mexicanas,amenity,restaurant,(646) 883-5453,https://jajajamexicana.com,,New York-10002-East Broadway
Cheong Fun Cart on Rutgers,amenity,fast_food,,,,New York--East Broadway
Forgtmenot,amenity,restaurant,(646) 707-3195,https://forgtmenotnyc.com,,New York-10002-Division Street
Bacaro,amenity,restaurant,(212) 941-5060,https://bacaronyc.com,,New York-10002-Division Street
Rhizome,tourism,museum,(646) 552-2313,,info@rhizome.org,New York-10002-Bowery
New York Chinese Alliance Church,amenity,place_of_worship,,,,New York-10002-Eldridge Street
Sea of Galilee Church,amenity,place_of_worship,(347) 949-6078,http://www.sogonline.org/,,New York-10002-Eldridge Street
DUA Institute,amenity,place_of_worship,(212) 253-1053,https://duainstitute.com,,New York-10002-Eldridge Street
Yeah Man Spa,amenity,spa,+1-347-249-1630,,,New York-10002-Allen Street
Antler Beer & Wine Dispensary,amenity,bar,+1-212-432-5000,http://antlerdispensary.com,,New York-10002-Allen Street
Kris Graphics,amenity,graphic_design,(212) 388-0395,https://kristygraphics.com,,New York-10002-Allen Street
Joey Bats Café,amenity,cafe,(212) 519-2289,https://joeybatscafe.com,,New York-10002-Allen Street
bitforms gallery,tourism,gallery,(212) 366-6939,https://bitforms.art,,New York-10002-Allen Street
LES SKATEPARK,tourism,attraction,,,,--
Happy Garden Palace,amenity,restaurant,(212) 925-9888,,,New York-10002-East Broadway
West 3rd Common,amenity,bar,+1-212-529-2059,http://west3rdcommon.com/,,--West 3rd Street
James Fuentes LLC,tourism,gallery,+1-212-577-1201,https://jamesfuentes.com/,,--Delancey Street
ViVi Bubble Tea,amenity,cafe,+1 212-566-6833,http://www.vivibubbletea.com/location_content.php?l=1,,-10013-Bayard Street
Gong Cha,amenity,cafe,+1 646-726-4940,https://www.gongchausa.com/new-york-chinatown-nyc-2,,-10013-Bayard Street
ViVi Bubble Tea,amenity,cafe,+1 212-966-5793,http://www.vivibubbletea.com/location_content.php?l=4,,-10038-East Broadway
Young Xinjiang BBQ Cart,amenity,restaurant,,,,New York-10002-Forsyth Street
Xing Wong BBQ,amenity,restaurant,(212) 779-8899,https://xingwongbbq.com,,New York-10002-East Broadway
Let's Go Thai Ice Cream,amenity,ice_cream,,,,New York-10002-East Broadway
New Wong,amenity,restaurant,,,,New York-10002-East Broadway
Lanzhou Ramen,amenity,restaurant,(646) 998-3175,,,New York-10002-East Broadway
Second Salem Church,amenity,place_of_worship,,,,New York-10002-Pike Street
East Broadway Pharmacy,amenity,pharmacy,(212) 431-6688,,,New York-10002-East Broadway
Fulton Care Pharmacy,amenity,pharmacy,,,,New York-10002-East Broadway
Sun Sai Gai Restaurant,amenity,restaurant,,,,--Canal Street
Canal Pharmacy,amenity,pharmacy,,,,--Canal Street
Canal Street Pharmacy,amenity,pharmacy,+1-212-748-4900,,,--Canal Street
Penguin Ice Cream,amenity,cafe,+1-646-288-3386,,,--Canal Street
Chinatown Federal Savings Bank,amenity,bank,+1-212-334-9191,,,--Canal Street
Planned Parenthood,amenity,clinic,,,,--Bleecker Street
Sheen Center,amenity,theatre,,,,--Bleecker Street
Uncle Boons Sister,amenity,restaurant,+1 646-850-9480,https://www.uncleboonssister.com,,--Mott Street
University Settlement Society of New York,amenity,social_centre,,https://www.universitysettlement.org/,info@universitysettlement.org,--Eldridge Street
Pho Vietnam,amenity,restaurant,,,,--
St. John's University,amenity,college,+1-718-990-2000,https://www.stjohns.edu/about/campuses-locations/manhattan-campus,,-10003-Astor Place
186f Kepler,tourism,gallery,,,today@186fkepler.com,--Canal Street
Mencius Society for the Arts,amenity,arts_centre,,,,--
V-Bread,amenity,cafe,,,,--
HSBC,amenity,bank,,,,--
Keki Modern Cakes,amenity,restaurant,,,,--
The Little One,amenity,restaurant,,,,--
Taiyaki,amenity,restaurant,,,,--
Milk&Cream Cereal Bar,amenity,restaurant,,,,--
Nam Son,amenity,restaurant,,,,--Grand Street
Estela,amenity,cafe,,,,--
The Bowery electric,amenity,bar,,https://www.theboweryelectric.com/,,--
Chinatown Soup,tourism,gallery,,https://chinatownsoup.nyc,hello@chinatownsoup.nyc,--Orchard Street
Vacation,tourism,gallery,(302) 481-6331,https://vacationgallery.nyc,concierge@vacationgallery.nyc,New York-10002-Orchard Street
Café Gitane,amenity,cafe,,,,--
Ruby's,amenity,restaurant,,,,--
Umberto’s Clam House,amenity,restaurant,,,,--Mulberry Street
Pietro Nolita,amenity,restaurant,,,,--
SOHO Sushi,amenity,restaurant,,,,--Sullivan Street
Downtown Yummy Restaurant,amenity,restaurant,+1-212-791-6818,,,-10002-East Broadway
Juicy,amenity,bar,,,,--Pell Street
East dumpling,amenity,restaurant,,,,--
Inhabit karaoke lounge,amenity,bar,,,,--
The Grand Daddy,amenity,cafe,+1-917-388-2233,https://www.thegranddaddy.nyc,,-10002-Grand Street
avocado appétit,amenity,restaurant,,,,--
Parm,amenity,restaurant,,,,--
cava,amenity,restaurant,,,,--
spring lounge,amenity,bar,,,,--
b&b winebar,amenity,bar,,,,--
Fried Dumpling,amenity,restaurant,,,,--Mosco Street
Xi'an Famous Foods,amenity,fast_food,,https://www.xianfoods.com,,--Bayard Street
Joy Luck Palace,amenity,restaurant,,,,--
Canal Pizza,amenity,fast_food,,,,--
Blue Bottle Coffee,amenity,cafe,,https://bluebottlecoffee.com/cafes/astor-place,,-10013-Astor Place
East Village,amenity,bicycle_rental,,,,--
Pho Grand,amenity,restaurant,,,,--Grand Street
il Buco,amenity,restaurant,,,,--
Cha Cha Matcha,amenity,cafe,+1 646-895-9484,https://chachamatcha.com/pages/locations?location=new-york-city,,-10012-Lafayette Street
IES Test Prep,amenity,prep_school,,,,--
American Indian Community House,amenity,community_centre,(646) 575-3638,http://www.aich.org/,socialmedia@aich.org,--Eldridge Street
narcissa фермерская,amenity,restaurant,,,,--
Tesla Supercharger,amenity,charging_station,,,,--
Tesla Supercharger,amenity,charging_station,,,,--
Kopitiam,amenity,restaurant,(646) 609-3785,https://kopitiamnyc.com,,--East Broadway
Wells Fargo,amenity,bank,+1-917-994-2334,https://www.wellsfargo.com/locator/bank/276__BOWERY_NEW__YORK_NY_10012/?loc=AD68416,,--Bowery
La MaMa Galleria,tourism,gallery,(212) 505-2476,https://lamama.org,lamamagalleria@gmail.com,New York-10012-Great Jones Street
cloudM,amenity,bar,,,,--
Project Reach,amenity,community_centre,(212) 966-4227,https://www.projectreachnyc.org,gonzalo@projectreachnyc.org,--Eldridge Street
New Mandarin Court,amenity,restaurant,212-608-3838,,,--Mott Street
Spring Mart,amenity,marketplace,,,,New York-10012-Mott Street
Shun Chang Chicken Duck Super,amenity,restaurant,,,,--
99 cent Pizza,amenity,fast_food,,,,--
He Xie Grocery Store,amenity,restaurant,,,,--
Banzarbar,amenity,bar,+1-212-420-0012,https://www.banzarbar.com,,-10002-Freeman Alley
Indi Thai,amenity,restaurant,,,,--
Lucky Star,amenity,bus_station,+1-617-269-5468,https://www.luckystarbus.com,,--
Bowery Dental,amenity,dentist,+1-917-388-3678,https://bowerydental.nyc,,--
Derek Eller Gallery,tourism,gallery,,https://www.derekeller.com,,--
Matcha n' More,amenity,cafe,+1 646-838-7594,https://www.matchanmore.com/,,--Hester Street
Hao Xin Qing Fashion,amenity,restaurant,,,,--
Century Pharmacy,amenity,pharmacy,,,,--
hop kee,amenity,fast_food,,,,--
Da Yu Hot Pot,amenity,restaurant,+1-212-966-1777,https://www.dayu-usa.com,,--
Manhattan Bowery Lodge,tourism,hostel,+1-917-353-5617,https://manhattanbowerylodgeny.us,,--
Little Sheep Mongolian Hot Pot,amenity,restaurant,+1-646-484-5707,https://littlesheephotpot.com,,--
Rise Brewing Company,amenity,cafe,+1-646-400-0410,https://risebrewingco.com/pages/cafes,,-10002-Delancey Street
Tea I Y,amenity,cafe,+1-646-413-3373,https://www.teaiynyc.com,,-10002-Hester Street
Sen Yat-sen,tourism,artwork,,,,--
Haughwout Building,tourism,attraction,,,,--Broadway
Little Singer Building,tourism,attraction,,,,--Broadway
Van Leeuwen Ice Cream,amenity,amenity|ice_cream,,,,New York-10012-Spring Street
Estela,amenity,restaurant,,,,--
Di Palo,amenity,restaurant,,,,--
Grotta Azzurra,amenity,restaurant,+1-212-925-8775,http://www.bluegrotta.com,,-10013-Mulberry Street
Mille Feuille,amenity,restaurant,+1-212-533-4698,millefeuille-nyc.com,info@millefeuille-nyc.com,New York-10012-Laguardia Place
OddFellows,amenity,ice_cream,,,,--
Terremoto Coffee,amenity,cafe,,,,-10012-Lafayette Street
Peppi's Cellar,amenity,bar,,,,-10013-
Fig. 19,amenity,bar,,,,-10002-
The Poni Room,amenity,bar,,,,-10012-Bowery
The Crown,amenity,bar,,,,-10013-Bowery
Acme,amenity,restaurant,,,,-10012-
The Box,amenity,nightclub,,,,--
Compagnie des Vins Surnaturels,amenity,bar,+1-212-343-3660,http://compagnienyc.com,,--Centre Street
Wayan,amenity,restaurant,,http://wayan-nyc.com,,--
Oneal’s,amenity,restaurant,,,,--
Cafeta Social Club Italian Restaurant,amenity,restaurant,,,,--
Bok Yee Buddhist Temple,amenity,place_of_worship,,,,--
78-80 Mulberry Street,tourism,apartment,,,,--
Cha Chang Tang,amenity,restaurant,+12125772888,http://cha-chan-tang.com,,-10013-
Bangkok Center Grocery,amenity,supermarket,+1 212-349-1979,http://www.bangkokcentergrocery.com/,,-10013-Mosco Street
T2 tea,amenity,cafe,,,,--
Museum of Ice Cream,tourism,museum,,,,--
Penn Station Eagle,tourism,artwork,,,,--
Tristan Eaton - Audrey Hepburn Graffiti,tourism,artwork,,,,--
The Pop Shop,tourism,artwork,,,,--
Soft Swerve Ice Cream,amenity,ice_cream,,,,--
Bar Primi,amenity,restaurant,,https://www.barprimi.com/,,New York-10003-Bowery
